LOG ANALISIS LEXICO - archivo: d:\Repositorios\JSAnalyzer\lexico\algoritmo_jorge.js
Generado por: JorgeBravo
Fecha: 20-06-2026 15:45:05
Tokens reconocidos: 111  |  Errores: 0
-------------------------------------------------------
Linea 1   | COMMENT_LINE | '// ==================================================================='
Linea 2   | COMMENT_LINE | '// Algoritmo de prueba - Bravo Vidal Jorge Andres'
Linea 3   | COMMENT_LINE | '// Componente: COMENTARIOS Y OPERADORES (JavaScript)'
Linea 4   | COMMENT_LINE | '// Alcance: solo aritmeticos, asignacion (= += -=) y logicos/comparacion.'
Linea 5   | COMMENT_LINE | '// ==================================================================='
Linea 7   | COMMENT_BLOCK | '/*\n   Comentario de bloque.\n   Puede ocupar varias lineas y debe reconocerse como un solo token.\n*/'
Linea 12  | IDENTIFIER   | 'let'
Linea 12  | IDENTIFIER   | 'a'
Linea 12  | ASSIGN       | '='
Linea 12  | NUMBER       | 10
Linea 12  | COMMENT_LINE | '// asignacion simple'
Linea 13  | IDENTIFIER   | 'let'
Linea 13  | IDENTIFIER   | 'b'
Linea 13  | ASSIGN       | '='
Linea 13  | NUMBER       | 3
Linea 14  | IDENTIFIER   | 'let'
Linea 14  | IDENTIFIER   | 'resultado'
Linea 14  | ASSIGN       | '='
Linea 14  | NUMBER       | 0
Linea 16  | COMMENT_LINE | '// ---- Operadores aritmeticos ----'
Linea 17  | IDENTIFIER   | 'resultado'
Linea 17  | ASSIGN       | '='
Linea 17  | IDENTIFIER   | 'a'
Linea 17  | PLUS         | '+'
Linea 17  | IDENTIFIER   | 'b'
Linea 17  | COMMENT_LINE | '// suma'
Linea 18  | IDENTIFIER   | 'resultado'
Linea 18  | ASSIGN       | '='
Linea 18  | IDENTIFIER   | 'a'
Linea 18  | MINUS        | '-'
Linea 18  | IDENTIFIER   | 'b'
Linea 18  | COMMENT_LINE | '// resta'
Linea 19  | IDENTIFIER   | 'resultado'
Linea 19  | ASSIGN       | '='
Linea 19  | IDENTIFIER   | 'a'
Linea 19  | TIMES        | '*'
Linea 19  | IDENTIFIER   | 'b'
Linea 19  | COMMENT_LINE | '// multiplicacion'
Linea 20  | IDENTIFIER   | 'resultado'
Linea 20  | ASSIGN       | '='
Linea 20  | IDENTIFIER   | 'a'
Linea 20  | DIVIDE       | '/'
Linea 20  | IDENTIFIER   | 'b'
Linea 20  | COMMENT_LINE | '// division'
Linea 21  | IDENTIFIER   | 'resultado'
Linea 21  | ASSIGN       | '='
Linea 21  | IDENTIFIER   | 'a'
Linea 21  | MODULO       | '%'
Linea 21  | IDENTIFIER   | 'b'
Linea 21  | COMMENT_LINE | '// modulo'
Linea 23  | COMMENT_LINE | '// ---- Incremento y decremento ----'
Linea 24  | IDENTIFIER   | 'a'
Linea 24  | INCREMENT    | '++'
Linea 25  | IDENTIFIER   | 'b'
Linea 25  | DECREMENT    | '--'
Linea 27  | COMMENT_LINE | '// ---- Asignacion aditiva y sustractiva ----'
Linea 28  | IDENTIFIER   | 'a'
Linea 28  | PLUS_ASSIGN  | '+='
Linea 28  | NUMBER       | 5
Linea 29  | IDENTIFIER   | 'a'
Linea 29  | MINUS_ASSIGN | '-='
Linea 29  | NUMBER       | 2
Linea 31  | COMMENT_LINE | '// ---- Comparacion ----'
Linea 32  | IDENTIFIER   | 'let'
Linea 32  | IDENTIFIER   | 'igual'
Linea 32  | ASSIGN       | '='
Linea 32  | IDENTIFIER   | 'a'
Linea 32  | EQ           | '=='
Linea 32  | IDENTIFIER   | 'b'
Linea 33  | IDENTIFIER   | 'let'
Linea 33  | IDENTIFIER   | 'identico'
Linea 33  | ASSIGN       | '='
Linea 33  | IDENTIFIER   | 'a'
Linea 33  | STRICT_EQ    | '==='
Linea 33  | IDENTIFIER   | 'b'
Linea 34  | IDENTIFIER   | 'let'
Linea 34  | IDENTIFIER   | 'diferente'
Linea 34  | ASSIGN       | '='
Linea 34  | IDENTIFIER   | 'a'
Linea 34  | NEQ          | '!='
Linea 34  | IDENTIFIER   | 'b'
Linea 35  | IDENTIFIER   | 'let'
Linea 35  | IDENTIFIER   | 'mayor'
Linea 35  | ASSIGN       | '='
Linea 35  | IDENTIFIER   | 'a'
Linea 35  | GT           | '>'
Linea 35  | IDENTIFIER   | 'b'
Linea 36  | IDENTIFIER   | 'let'
Linea 36  | IDENTIFIER   | 'menor'
Linea 36  | ASSIGN       | '='
Linea 36  | IDENTIFIER   | 'a'
Linea 36  | LT           | '<'
Linea 36  | IDENTIFIER   | 'b'
Linea 38  | COMMENT_LINE | '// ---- Operadores logicos ----'
Linea 39  | IDENTIFIER   | 'let'
Linea 39  | IDENTIFIER   | 'logico'
Linea 39  | ASSIGN       | '='
Linea 39  | IDENTIFIER   | 'mayor'
Linea 39  | AND          | '&&'
Linea 39  | IDENTIFIER   | 'menor'
Linea 40  | IDENTIFIER   | 'let'
Linea 40  | IDENTIFIER   | 'alterno'
Linea 40  | ASSIGN       | '='
Linea 40  | IDENTIFIER   | 'igual'
Linea 40  | OR           | '||'
Linea 40  | IDENTIFIER   | 'diferente'
Linea 41  | IDENTIFIER   | 'let'
Linea 41  | IDENTIFIER   | 'negado'
Linea 41  | ASSIGN       | '='
Linea 41  | NOT          | '!'
Linea 41  | IDENTIFIER   | 'igual'
