LOG ANALISIS (LEXICO) - archivo: algoritmo_jorge.js
Generado por: JorgeBravo
Fecha: 07-07-2026 23:45:00
Flujo: lexer -> parser -> semantico
============================================================

=== ANALISIS LEXICO ===
Tokens reconocidos: 160  |  Errores lexicos: 0
Linea 1   | COMMENT_LINE | '// ==================================================================='
Linea 2   | COMMENT_LINE | '// Algoritmo de prueba - Bravo Vidal Jorge Andres'
Linea 3   | COMMENT_LINE | '// ==================================================================='
Linea 5   | COMMENT_BLOCK | '/*\n   Comentario de bloque.\n   Se reconoce como un solo token y no afecta el analisis.\n*/'
Linea 10  | COMMENT_LINE | '// ---- Operadores aritmeticos (como inicializadores) ----'
Linea 11  | LET          | 'let'
Linea 11  | IDENTIFIER   | 'a'
Linea 11  | ASSIGN       | '='
Linea 11  | NUMBER       | 10
Linea 11  | SEMICOLON    | ';'
Linea 12  | LET          | 'let'
Linea 12  | IDENTIFIER   | 'b'
Linea 12  | ASSIGN       | '='
Linea 12  | NUMBER       | 3
Linea 12  | SEMICOLON    | ';'
Linea 13  | LET          | 'let'
Linea 13  | IDENTIFIER   | 'suma'
Linea 13  | ASSIGN       | '='
Linea 13  | IDENTIFIER   | 'a'
Linea 13  | PLUS         | '+'
Linea 13  | IDENTIFIER   | 'b'
Linea 13  | SEMICOLON    | ';'
Linea 14  | LET          | 'let'
Linea 14  | IDENTIFIER   | 'resta'
Linea 14  | ASSIGN       | '='
Linea 14  | IDENTIFIER   | 'a'
Linea 14  | MINUS        | '-'
Linea 14  | IDENTIFIER   | 'b'
Linea 14  | SEMICOLON    | ';'
Linea 15  | LET          | 'let'
Linea 15  | IDENTIFIER   | 'producto'
Linea 15  | ASSIGN       | '='
Linea 15  | IDENTIFIER   | 'a'
Linea 15  | TIMES        | '*'
Linea 15  | IDENTIFIER   | 'b'
Linea 15  | SEMICOLON    | ';'
Linea 16  | LET          | 'let'
Linea 16  | IDENTIFIER   | 'division'
Linea 16  | ASSIGN       | '='
Linea 16  | IDENTIFIER   | 'a'
Linea 16  | DIVIDE       | '/'
Linea 16  | IDENTIFIER   | 'b'
Linea 16  | SEMICOLON    | ';'
Linea 17  | LET          | 'let'
Linea 17  | IDENTIFIER   | 'modulo'
Linea 17  | ASSIGN       | '='
Linea 17  | IDENTIFIER   | 'a'
Linea 17  | MODULO       | '%'
Linea 17  | IDENTIFIER   | 'b'
Linea 17  | SEMICOLON    | ';'
Linea 19  | COMMENT_LINE | '// ---- Comparacion ----'
Linea 20  | LET          | 'let'
Linea 20  | IDENTIFIER   | 'igual'
Linea 20  | ASSIGN       | '='
Linea 20  | IDENTIFIER   | 'a'
Linea 20  | EQ           | '=='
Linea 20  | IDENTIFIER   | 'b'
Linea 20  | SEMICOLON    | ';'
Linea 21  | LET          | 'let'
Linea 21  | IDENTIFIER   | 'identico'
Linea 21  | ASSIGN       | '='
Linea 21  | IDENTIFIER   | 'a'
Linea 21  | STRICT_EQ    | '==='
Linea 21  | IDENTIFIER   | 'b'
Linea 21  | SEMICOLON    | ';'
Linea 22  | LET          | 'let'
Linea 22  | IDENTIFIER   | 'diferente'
Linea 22  | ASSIGN       | '='
Linea 22  | IDENTIFIER   | 'a'
